2025-08-21 19:22:29.145 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.145 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.145 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.145 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
2025-08-21 19:22:29.145 | ERROR    | metagpt.provider.openai_api:_init_client:74 - {'api_key': 'sk-FRQxdGxCMDSPoogN0SgdGGm4IEfv3uMjUFTtgepRNC7bnxO8', 'base_url': 'https://api.chatanywhere.tech/v1/'}
2025-08-21 19:22:29.147 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.148 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.148 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.148 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
2025-08-21 19:22:29.148 | ERROR    | metagpt.provider.openai_api:_init_client:74 - {'api_key': 'sk-FRQxdGxCMDSPoogN0SgdGGm4IEfv3uMjUFTtgepRNC7bnxO8', 'base_url': 'https://api.chatanywhere.tech/v1/'}
2025-08-21 19:22:29.152 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.153 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.153 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.154 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
2025-08-21 19:22:29.154 | ERROR    | metagpt.provider.openai_api:_init_client:74 - {'api_key': 'sk-FRQxdGxCMDSPoogN0SgdGGm4IEfv3uMjUFTtgepRNC7bnxO8', 'base_url': 'https://api.chatanywhere.tech/v1/'}
2025-08-21 19:22:29.155 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.155 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.156 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.156 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
2025-08-21 19:22:29.156 | ERROR    | metagpt.provider.openai_api:_init_client:74 - {'api_key': 'sk-FRQxdGxCMDSPoogN0SgdGGm4IEfv3uMjUFTtgepRNC7bnxO8', 'base_url': 'https://api.chatanywhere.tech/v1/'}
2025-08-21 19:22:29.161 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.162 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.162 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.162 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
2025-08-21 19:22:29.162 | ERROR    | metagpt.provider.openai_api:_init_client:74 - {'api_key': 'sk-FRQxdGxCMDSPoogN0SgdGGm4IEfv3uMjUFTtgepRNC7bnxO8', 'base_url': 'https://api.chatanywhere.tech/v1/'}
2025-08-21 19:22:29.166 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.167 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.167 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.167 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
2025-08-21 19:22:29.167 | ERROR    | metagpt.provider.openai_api:_init_client:74 - {'api_key': 'sk-FRQxdGxCMDSPoogN0SgdGGm4IEfv3uMjUFTtgepRNC7bnxO8', 'base_url': 'https://api.chatanywhere.tech/v1/'}
2025-08-21 19:22:29.184 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.184 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.184 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.185 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
2025-08-21 19:22:29.185 | ERROR    | metagpt.provider.openai_api:_init_client:74 - {'api_key': 'sk-FRQxdGxCMDSPoogN0SgdGGm4IEfv3uMjUFTtgepRNC7bnxO8', 'base_url': 'https://api.chatanywhere.tech/v1/'}
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.openai_api:_init_client:74 - {'api_key': 'sk-FRQxdGxCMDSPoogN0SgdGGm4IEfv3uMjUFTtgepRNC7bnxO8', 'base_url': 'https://api.chatanywhere.tech/v1/'}
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.openai_api:_init_client:74 - {'api_key': 'sk-FRQxdGxCMDSPoogN0SgdGGm4IEfv3uMjUFTtgepRNC7bnxO8', 'base_url': 'https://api.chatanywhere.tech/v1/'}
2025-08-21 19:22:29.188 | ERROR    | metagpt.provider.openai_api:_init_client:74 - {'api_key': 'sk-FRQxdGxCMDSPoogN0SgdGGm4IEfv3uMjUFTtgepRNC7bnxO8', 'base_url': 'https://api.chatanywhere.tech/v1/'}
2025-08-21 19:22:29.191 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.191 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.191 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.191 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
2025-08-21 19:22:29.191 | ERROR    | metagpt.provider.openai_api:_init_client:74 - {'api_key': 'sk-FRQxdGxCMDSPoogN0SgdGGm4IEfv3uMjUFTtgepRNC7bnxO8', 'base_url': 'https://api.chatanywhere.tech/v1/'}
2025-08-21 19:22:29.194 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.194 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.194 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.194 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
2025-08-21 19:22:29.194 | ERROR    | metagpt.provider.openai_api:_init_client:74 - {'api_key': 'sk-FRQxdGxCMDSPoogN0SgdGGm4IEfv3uMjUFTtgepRNC7bnxO8', 'base_url': 'https://api.chatanywhere.tech/v1/'}
2025-08-21 19:22:29.196 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:41 - in llm_provider_registry
2025-08-21 19:22:29.196 | ERROR    | metagpt.provider.llm_provider_registry:create_llm_instance:42 - {}
2025-08-21 19:22:29.196 | ERROR    | metagpt.provider.openai_api:_init_client:72 - in openai api, setting model config
2025-08-21 19:22:29.196 | ERROR    | metagpt.provider.openai_api:_init_client:73 - gpt
